id,Date,Open,High,Low,Close,Volume,Futureprice
127,2021-11-23-17,57474.65,57700.43,57250.0,57269.79,72.7514052592,57446.16
128,2021-11-23-16,56893.57,57600.0,56893.57,57474.65,100.8213575846,57269.79
129,2021-11-23-15,57708.16,57769.15,56867.49,56893.57,116.1381751321,57474.65
130,2021-11-23-14,56786.02,57708.16,56621.09,57708.16,117.4449288137,56893.57
131,2021-11-23-13,56330.0,56929.14,56330.0,56786.02,47.6495875969,57708.16
132,2021-11-23-12,56109.34,56462.09,56109.34,56330.0,26.4242861961,56786.02
133,2021-11-23-11,56368.22,56573.48,55980.62,56109.34,38.2465530422,56330.0
134,2021-11-23-10,56630.84,57708.16,56303.26,56368.22,173.53480598,56109.34
135,2021-11-23-09,56280.97,57371.47,55384.0,56630.84,119.2707100006,56368.22
136,2021-11-23-08,56031.71,56416.06,55747.41,56280.97,22.0300557908,56630.84
137,2021-11-23-07,56394.31,56409.17,55875.86,56031.71,25.2650933869,56280.97
138,2021-11-23-06,56559.92,56647.03,56223.67,56394.31,17.5596105096,56031.71
139,2021-11-23-05,56820.49,56897.0,56387.87,56559.92,28.9176860558,56394.31
140,2021-11-23-04,56975.38,57059.2,56800.01,56820.49,20.8064230427,56559.92
141,2021-11-23-03,56939.69,57259.88,56835.38,56975.38,38.1563744753,56820.49
142,2021-11-23-02,56881.25,56987.99,56646.81,56939.69,26.3897441226,56975.38
143,2021-11-23-01,56631.67,56966.07,56489.77,56881.25,34.2227012221,56939.69
144,2021-11-23-00,56353.23,56854.83,56020.0,56631.67,25.579324394,56881.25
145,2021-11-22-23,56751.28,56751.28,56254.87,56353.23,51.8385755549,56631.67
146,2021-11-22-22,56282.74,56751.34,56073.06,56751.28,44.551878907,56353.23
147,2021-11-22-21,55902.67,56457.2,55648.53,56282.74,58.7748030206,56751.28
148,2021-11-22-20,56014.49,56395.34,55743.45,55902.67,106.1373638468,56282.74
149,2021-11-22-19,56517.31,57109.1,55778.16,56014.49,173.8367710812,55902.67
150,2021-11-22-18,57446.15,57467.69,56471.69,56517.31,127.3148006019,56014.49
151,2021-11-22-17,57782.95,57801.45,57341.16,57446.15,44.6980578475,56517.31
152,2021-11-22-16,58231.35,58307.63,57659.86,57782.95,93.2080362155,57446.15
153,2021-11-22-15,58293.12,58485.07,58002.01,58231.35,56.4113932051,57782.95
154,2021-11-22-14,58935.61,59063.63,58218.88,58293.12,108.6793588798,58231.35
155,2021-11-22-13,57233.75,59581.52,56652.0,58935.61,240.7816958266,58293.12
156,2021-11-22-12,57240.45,58073.89,57120.46,57233.75,50.6534681849,58935.61
157,2021-11-22-11,57375.63,57582.2,57232.78,57240.45,12.5059412667,57233.75
158,2021-11-22-10,57215.01,57440.77,57043.47,57375.63,11.5060802065,57240.45
159,2021-11-22-09,57418.79,57879.99,57192.0,57215.01,16.1992420576,57375.63
160,2021-11-22-08,57334.59,57614.54,57308.4,57418.79,6.6702140129,57215.01
161,2021-11-22-07,57365.86,57779.96,57314.47,57334.59,15.1804927037,57418.79
162,2021-11-22-06,57494.8,57516.97,57120.45,57365.86,12.9161608075,57334.59
163,2021-11-22-05,57116.32,57494.8,56836.8,57494.8,45.2688537256,57365.86
164,2021-11-22-04,57440.38,57570.08,57100.0,57116.32,28.8267040383,57494.8
165,2021-11-22-03,57746.31,57847.06,57049.07,57440.38,58.2432331043,57116.32
166,2021-11-22-02,58099.23,58156.02,57392.84,57746.31,53.5883535658,57440.38
167,2021-11-22-01,58179.93,58291.18,57741.16,58099.23,39.4534230545,57746.31
168,2021-11-22-00,58668.83,58788.99,58059.43,58179.93,54.2320805543,58099.23
