id,Date,Open,High,Low,Close,Volume,Futureprice
8528,2021-11-23-01-52,56846.07,56857.8,56810.29,56847.34,0.50957629,56898.61
8529,2021-11-23-01-51,56792.09,56846.07,56792.09,56846.07,0.17659613,56847.34
8530,2021-11-23-01-50,56746.79,56770.19,56718.77,56770.19,0.14424236,56846.07
8531,2021-11-23-01-49,56734.88,56746.79,56694.49,56746.79,0.01023,56770.19
8532,2021-11-23-01-48,56734.88,56734.88,56734.88,56734.88,0.00875,56746.79
8533,2021-11-23-01-47,56647.07,56670.63,56647.07,56670.63,0.00789778,56734.88
8534,2021-11-23-01-46,56706.52,56805.21,56693.76,56697.6,4.12593664,56670.63
8535,2021-11-23-01-45,56620.42,56686.53,56620.42,56685.2,0.0601604,56697.6
8536,2021-11-23-01-44,56664.61,56664.61,56629.05,56629.05,0.09505459,56685.2
8537,2021-11-23-01-43,56616.73,56662.71,56608.98,56662.71,3.64409368,56629.05
8538,2021-11-23-01-42,56522.8,56582.52,56522.8,56582.52,0.10951184,56662.71
8539,2021-11-23-01-41,56512.9,56548.1,56506.14,56506.14,0.21102513,56582.52
8540,2021-11-23-01-40,56546.36,56546.36,56498.15,56520.91,0.07671648,56506.14
8541,2021-11-23-01-39,56595.27,56595.27,56567.11,56567.11,0.04513,56520.91
8542,2021-11-23-01-38,56588.86,56588.86,56552.8,56587.06,0.30921269,56567.11
8543,2021-11-23-01-37,56629.19,56629.19,56578.82,56616.76,1.79537525,56587.06
8544,2021-11-23-01-36,56627.28,56628.08,56623.18,56623.18,0.00817,56616.76
8545,2021-11-23-01-35,56611.54,56619.68,56560.0,56588.4,0.58064198,56623.18
8546,2021-11-23-01-34,56692.55,56692.55,56593.18,56593.18,0.2224915,56588.4
8547,2021-11-23-01-33,56718.01,56718.01,56689.43,56689.43,0.00644372,56593.18
8548,2021-11-23-01-32,56732.75,56732.75,56696.04,56718.4,0.04567326,56689.43
8549,2021-11-23-01-31,56748.16,56759.49,56736.78,56736.78,0.31985245,56718.4
8550,2021-11-23-01-30,56790.08,56818.44,56762.58,56762.58,0.13445,56736.78
8551,2021-11-23-01-29,56748.55,56748.55,56724.91,56725.16,0.04179,56762.58
8552,2021-11-23-01-28,56830.3,56830.3,56752.82,56771.99,0.25981209,56725.16
8553,2021-11-23-01-27,56895.98,56955.69,56824.05,56824.05,3.21649686,56771.99
8554,2021-11-23-01-26,56856.42,56929.63,56856.42,56905.93,3.75820337,56824.05
8555,2021-11-23-01-25,56795.31,56834.0,56795.31,56834.0,0.07115683,56905.93
8556,2021-11-23-01-24,56755.89,56765.61,56753.15,56765.61,0.03642379,56834.0
8557,2021-11-23-01-23,56765.03,56797.16,56745.5,56797.16,0.36822502,56765.61
8558,2021-11-23-01-22,56614.11,56729.09,56614.11,56729.09,0.01852383,56797.16
8559,2021-11-23-01-21,56563.11,56671.03,56563.11,56619.28,0.04787597,56729.09
8560,2021-11-23-01-20,56540.4,56563.11,56511.72,56563.11,0.76906263,56619.28
8561,2021-11-23-01-19,56589.59,56589.6,56563.11,56563.11,0.12214786,56563.11
8562,2021-11-23-01-18,56551.79,56589.6,56551.79,56589.6,0.27647256,56563.11
8563,2021-11-23-01-17,56572.66,56591.72,56572.27,56591.72,0.38802133,56589.6
8564,2021-11-23-01-16,56617.29,56617.29,56582.41,56582.41,0.16542094,56591.72
