id,Date,Open,High,Low,Close,Volume,mean_degree,num_tx,mean_tx_value,max_tx_value,min_tx_value,new_address,Futureprice
4225,2021-11-26-01-35,58812.62,58884.1,58796.52,58860.31,4.90770752,137.37016293279024,2934,6.472754210469188E7,2000000000,656,4758,58864.37
4361,2021-11-25-23-19,59099.12,59112.04,59088.83,59112.04,1.34091855,0.0,0,0.0,0,0,0,59103.88
4664,2021-11-25-18-16,59248.74,59287.64,59248.74,59287.64,0.13398,0.0,0,0.0,0,0,0,59283.29
4754,2021-11-25-16-46,59025.52,59025.52,58957.89,58997.97,1.16238952,0.0,0,0.0,0,0,0,59004.7
5553,2021-11-25-03-27,57749.94,57763.73,57749.94,57763.73,0.062994,0.0,0,0.0,0,0,0,57728.07
6616,2021-11-24-09-44,56819.32,56819.32,56819.32,56819.32,0.0,0.0,0,0.0,0,0,0,56819.32
6669,2021-11-24-08-51,56983.4,56983.4,56919.2,56923.36,0.57333408,0.0,0,0.0,0,0,0,56825.81
6889,2021-11-24-05-11,56560.87,56620.78,56560.87,56620.78,1.2692487,0.0,0,0.0,0,0,0,56641.58
7273,2021-11-23-22-47,57615.16,57615.16,57605.4,57613.16,0.04146813,0.0,0,0.0,0,0,0,57613.16
7841,2021-11-23-13-19,56665.0,56797.16,56665.0,56780.11,15.6717346,0.0,0,0.0,0,0,0,56718.3
7950,2021-11-23-11-30,56236.51,56311.12,56214.32,56311.12,3.4335011,0.0,0,0.0,0,0,0,56333.04
8457,2021-11-23-03-03,56848.29,56987.31,56827.01,56954.7,5.58770957,0.0,0,0.0,0,0,0,57059.36
8965,2021-11-22-18-35,57061.81,57075.24,56933.56,57016.65,2.88317431,0.0,0,0.0,0,0,0,56967.91
9021,2021-11-22-17-39,57444.95,57446.53,57414.66,57415.68,0.03756598,0.0,0,0.0,0,0,0,57442.01
9672,2021-11-22-06-48,57195.56,57195.56,57173.42,57173.42,0.14103034,0.0,0,0.0,0,0,0,57196.89
9885,2021-11-22-03-15,57767.27,57779.17,57745.38,57756.55,1.30543718,0.0,0,0.0,0,0,0,57746.35
10043,2021-11-22-00-37,58324.77,58337.71,58277.51,58337.71,1.34489563,0.0,0,0.0,0,0,0,58256.71
124,2021-11-28-21-56,56392.88,56437.49,56371.16,56387.86,1.37677855,0.0,0,0.0,0,0,0,56275.75
271,2021-11-28-19-29,54513.16,54534.88,54503.5,54534.88,0.03667,0.0,0,0.0,0,0,0,54574.89
536,2021-11-28-15-04,54417.68,54419.44,54412.95,54416.57,0.31521,0.0,0,0.0,0,0,0,54415.33
1534,2021-11-27-22-26,54619.46,54656.0,54619.46,54656.0,0.01168,0.0,0,0.0,0,0,0,54662.94
2457,2021-11-27-07-03,54319.65,54326.85,54319.65,54326.85,0.02046,0.0,0,0.0,0,0,0,54306.6
2645,2021-11-27-03-55,54422.27,54463.02,54422.27,54431.22,0.3130242,0.0,0,0.0,0,0,0,54388.87
2656,2021-11-27-03-44,54517.77,54517.77,54494.93,54494.93,1.00115,0.0,0,0.0,0,0,0,54545.85
3110,2021-11-26-20-10,54372.77,54372.77,54274.6,54290.36,0.98634609,0.0,0,0.0,0,0,0,54265.3
3206,2021-11-26-18-34,54014.08,54066.42,54008.26,54062.8,0.3337328,0.0,0,0.0,0,0,0,54064.18
3384,2021-11-26-15-36,54539.45,54590.96,54527.55,54528.45,3.06300453,0.0,0,0.0,0,0,0,54493.1
3385,2021-11-26-15-35,54459.45,54537.52,54451.22,54529.09,1.85703744,142.28140803173028,2317,6.373658493092692E7,2030694526,0,4462,54528.45
3404,2021-11-26-15-16,54421.0,54441.04,54279.45,54285.89,5.09865157,0.0,0,0.0,0,0,0,54265.25
3477,2021-11-26-14-03,54445.38,54527.18,54417.27,54514.44,11.15642983,0.0,0,0.0,0,0,0,54440.84
3826,2021-11-26-08-14,56770.24,56811.54,56738.59,56762.82,1.94333591,0.0,0,0.0,0,0,0,56678.7
4141,2021-11-26-02-59,58204.18,58305.8,58204.18,58258.28,5.02462496,0.0,0,0.0,0,0,0,58196.64
4161,2021-11-26-02-39,58441.22,58441.22,58424.18,58430.52,0.04463908,0.0,0,0.0,0,0,0,58404.21
4836,2021-11-25-15-24,58685.34,58740.44,58685.34,58725.35,0.05783,0.0,0,0.0,0,0,0,58743.83
5027,2021-11-25-12-13,58335.12,58400.29,58301.73,58301.73,0.9738017,0.0,0,0.0,0,0,0,58388.22
5120,2021-11-25-10-40,58223.19,58223.32,58147.84,58147.84,0.1496843,0.0,0,0.0,0,0,0,58079.64
5999,2021-11-24-20-01,56810.34,56845.12,56781.21,56798.9,2.57094173,0.0,0,0.0,0,0,0,56779.81
6174,2021-11-24-17-06,56751.0,56751.0,56751.0,56751.0,0.0012,0.0,0,0.0,0,0,0,56697.49
6351,2021-11-24-14-09,56198.44,56198.44,56094.73,56132.84,4.60457923,0.0,0,0.0,0,0,0,56116.86
6605,2021-11-24-09-55,56819.32,56819.32,56819.32,56819.32,0.0,0.0,0,0.0,0,0,0,56819.32
7073,2021-11-24-02-07,56924.23,56938.76,56892.66,56892.66,0.49071772,0.0,0,0.0,0,0,0,56979.24
7458,2021-11-23-19-42,57552.75,57590.74,57510.45,57520.94,2.37155911,111.27026209677419,2624,5.20412006160955E7,2057478501,424,4513,57538.29
